icao,iata,name,city,country,continent,kind,runways,longest_ft,lat,lon
LFPB,LBG,Paris-Le Bourget International Airport,Paris,FR,EU,large_airport,3,9843,48.96228,2.43654
LFPG,CDG,Charles de Gaulle International Airport,"Paris (Roissy-en-France, Val-d'Oise)",FR,EU,large_airport,5,13829,49.00896,2.55412
LFPO,ORY,Paris-Orly Airport,"Paris (Orly, Val-de-Marne)",FR,EU,large_airport,3,11975,48.72950,2.35896
LFQB,,Troyes-Barberey Airport,"Barberey-Saint-Sulpice, Aube",FR,EU,medium_airport,3,5413,48.32210,4.01670
LFRL,,Lanvéoc-Poulmic Air Base,Lanvéoc/Poulmic,FR,EU,medium_airport,3,3635,48.28170,-4.44502
LFRU,MXN,Morlaix-Ploujean Airport,Morlaix/Ploujean,FR,EU,medium_airport,3,5305,48.60320,-3.81578
LIRF,FCO,Rome–Fiumicino Leonardo da Vinci International Airport,Rome,IT,EU,large_airport,3,12801,41.80453,12.25200
LIRV,,Viterbo Airport,Viterbo,IT,EU,medium_airport,3,4265,42.43530,12.06136
LKKU,UHE,Kunovice Airport,Uherské Hradiště,CZ,EU,medium_airport,3,6562,49.02940,17.43970
LLBG,TLV,Ben Gurion International Airport,Tel Aviv,IL,AS,large_airport,3,13327,32.01140,34.88670
LLEK,,Tel Nof Air Base,Rehovot,IL,AS,medium_airport,3,7880,31.83950,34.82180
LLNV,VTM,Nevatim Air Base,Beersheba,IL,AS,medium_airport,4,10991,31.20830,35.01230
LLRD,,Ramat David Air Base,Haifa,IL,AS,medium_airport,3,8550,32.66510,35.17950
LOWG,GRZ,Graz Airport,Feldkirchen bei Graz,AT,EU,large_airport,3,9842,46.99110,15.43960
LOWL,LNZ,Linz-Hörsching Airport,Linz,AT,EU,large_airport,3,9843,48.23536,14.18813
LOXN,,Wiener Neustadt West Airport,Wiener Neustadt,AT,EU,medium_airport,6,5314,47.83693,16.22184
LSZB,BRN,Bern Airport,Bern,CH,EU,medium_airport,5,5676,46.91274,7.49882
LSZG,,Grenchen Airfield,Grenchen,CH,EU,medium_airport,4,3281,47.18160,7.41719
LSZH,ZRH,Zürich Airport,Zurich,CH,EU,large_airport,4,12139,47.45806,8.54806
LTAI,AYT,Antalya International Airport,Antalya,TR,AS,large_airport,3,11155,36.89870,30.80050
LTFM,IST,İstanbul Airport,Istanbul,TR,EU,large_airport,6,13451,41.27487,28.73214
LZTT,TAT,Poprad-Tatry Airport,Poprad,SK,EU,medium_airport,3,8530,49.07099,20.24139
MMCU,CUU,General Roberto Fierro Villalobos International Airport,Chihuahua,MX,NA,large_airport,3,8530,28.70265,-105.96376
MMSM,NLU,Felipe Ángeles International Airport,Mexico City,MX,NA,large_airport,3,14764,19.74382,-99.01507
MMTM,TAM,General Francisco Javier Mina International Airport,Ciudad Madero,MX,NA,medium_airport,3,8366,22.29262,-97.86706
