icao,iata,name,city,country,region,continent,kind,runways,longest_ft,lat,lon
KHTS,HTS,Tri-State Airport / Milton J. Ferguson Field,Huntington,US,US-WV,NA,medium_airport,1,7017,38.36670,-82.55800
KHUA,HUA,Redstone Army Air Field,Redstone Arsnl Huntsville,US,US-AL,NA,medium_airport,1,7300,34.67870,-86.68480
KHUF,HUF,"Terre Haute Regional Airport, Hulman Field",Terre Haute,US,US-IN,NA,medium_airport,2,9021,39.45150,-87.30760
KHUL,HUL,Houlton International Airport,Houlton,US,US-ME,NA,medium_airport,2,5015,46.12310,-67.79210
KHUT,HUT,Hutchinson Municipal Airport,Hutchinson,US,US-KS,NA,medium_airport,3,7003,38.06550,-97.86060
KHVN,HVN,Tweed New Haven Airport,New Haven,US,US-CT,NA,medium_airport,1,5600,41.26287,-72.88769
KHVR,HVR,Havre City County Airport,Havre,US,US-MT,NA,medium_airport,2,5205,48.54139,-109.76286
KHWO,HWO,North Perry Airport,Hollywood,US,US-FL,NA,medium_airport,4,3463,26.00120,-80.24070
KHXD,HHH,Hilton Head Airport,Hilton Head Island,US,US-SC,NA,medium_airport,1,5000,32.22440,-80.69750
KHYA,HYA,Cape Cod Gateway Airport,Hyannis,US,US-MA,NA,medium_airport,2,5425,41.66930,-70.28040
KHYI,,San Marcos Regional Airport,San Marcos,US,US-TX,NA,medium_airport,3,6330,29.89270,-97.86300
KHYR,HYR,Sawyer County Airport,Hayward,US,US-WI,NA,medium_airport,2,5003,46.02520,-91.44430
KHYS,HYS,Hays Regional Airport,Hays,US,US-KS,NA,medium_airport,2,6501,38.84452,-99.27315
KHZY,JFN,Northeast Ohio Regional Airport,Ashtabula,US,US-OH,NA,medium_airport,1,5900,41.77800,-80.69550
KIAB,IAB,McConnell Air Force Base,Wichita,US,US-KS,NA,medium_airport,2,12007,37.62190,-97.26820
KIAD,IAD,Washington Dulles International Airport,Dulles,US,US-VA,NA,large_airport,4,11500,38.94450,-77.45580
KIAG,IAG,Niagara Falls International Airport,Niagara Falls,US,US-NY,NA,medium_airport,2,9826,43.10730,-78.94620
KIAH,IAH,George Bush Intercontinental Airport,Houston,US,US-TX,NA,large_airport,5,12001,29.98440,-95.34140
KICT,ICT,Wichita Dwight D. Eisenhower National Airport,Wichita,US,US-KS,NA,medium_airport,3,10302,37.65031,-97.42858
KIDA,IDA,Idaho Falls Regional Airport,Idaho Falls,US,US-ID,NA,medium_airport,2,9002,43.51460,-112.07100
KIFP,IFP,Laughlin Bullhead International Airport,Bullhead City,US,US-AZ,NA,medium_airport,1,8501,35.15473,-114.55932
KIGM,IGM,Kingman Airport,Kingman,US,US-AZ,NA,medium_airport,2,6827,35.25950,-113.93800
KIKK,IKK,Greater Kankakee Airport,Kankakee,US,US-IL,NA,medium_airport,2,5981,41.07140,-87.84630
KILG,ILG,Wilmington Airport,Wilmington,US,US-DE,NA,medium_airport,3,7275,39.67870,-75.60650
KILM,ILM,Wilmington International Airport,Wilmington,US,US-NC,NA,medium_airport,2,8016,34.27235,-77.90512
KILN,ILN,Wilmington Airpark,Wilmington,US,US-OH,NA,medium_airport,2,10701,39.42790,-83.79210
KIMT,IMT,Ford Airport,Kingsford,US,US-MI,NA,medium_airport,2,6502,45.81911,-88.11456
KIND,IND,Indianapolis International Airport,Indianapolis,US,US-IN,NA,large_airport,3,11200,39.71730,-86.29440
KINK,INK,Winkler County Airport,Wink,US,US-TX,NA,medium_airport,2,5003,31.77960,-103.20100
KINL,INL,Falls International Airport,International Falls,US,US-MN,NA,medium_airport,2,7400,48.56620,-93.40310
KINT,INT,Smith Reynolds Airport,Winston Salem,US,US-NC,NA,medium_airport,2,6655,36.13370,-80.22200
KINW,INW,Winslow Lindbergh Regional Airport,Winslow,US,US-AZ,NA,medium_airport,2,7499,35.02190,-110.72300
KIPL,IPL,Imperial County Airport,Imperial,US,US-CA,NA,medium_airport,2,5308,32.83539,-115.57403
KIPT,IPT,Williamsport Regional Airport,Williamsport,US,US-PA,NA,medium_airport,2,6825,41.24213,-76.92245
KIRK,IRK,Kirksville Regional Airport,Kirksville,US,US-MO,NA,medium_airport,2,6005,40.09350,-92.54490
KISM,ISM,Kissimmee Gateway Airport,Orlando,US,US-FL,NA,medium_airport,2,6001,28.28980,-81.43710
KISO,ISO,Kinston Regional Jetport At Stallings Field,Kinston,US,US-NC,NA,medium_airport,1,11498,35.33140,-77.60880
KISP,ISP,Long Island MacArthur Airport,Islip,US,US-NY,NA,medium_airport,3,7006,40.79632,-73.10170
KITH,ITH,Ithaca Tompkins Regional Airport,Ithaca,US,US-NY,NA,medium_airport,2,6977,42.49100,-76.45840
KIWA,AZA,Mesa Gateway Airport,Mesa,US,US-AZ,NA,medium_airport,3,10401,33.30780,-111.65500
KJAC,JAC,Jackson Hole Airport,Jackson,US,US-WY,NA,medium_airport,1,6300,43.60730,-110.73800
KJAN,JAN,Jackson-Medgar Wiley Evers International Airport,Jackson,US,US-MS,NA,medium_airport,2,8500,32.31120,-90.07590
KJAX,JAX,Jacksonville International Airport,Jacksonville,US,US-FL,NA,large_airport,2,10000,30.49247,-81.68781
KJBR,JBR,Jonesboro Municipal Airport,Jonesboro,US,US-AR,NA,medium_airport,2,6200,35.83170,-90.64640
KJCT,JCT,Kimble County Airport,Junction,US,US-TX,NA,medium_airport,2,5004,30.51130,-99.76350
KJFK,JFK,John F. Kennedy International Airport,New York,US,US-NY,NA,large_airport,4,14511,40.63945,-73.77932
KJHW,JHW,Chautauqua County-Jamestown Airport,Jamestown,US,US-NY,NA,medium_airport,2,5300,42.15425,-79.25401
KJKL,,Julian Carroll Airport,Jackson,US,US-KY,NA,medium_airport,1,4400,37.59390,-83.31730
